name,type_1,type_2,caption
zarude-dada,dark,grass,"a black and green creature with a large, sharp claw and a long, pointed tail. It has a menacing expression and appears to be a fierce and intimidating opponent."
vigoroth,normal,,"a white and black bear with a red face, standing on its hind legs and holding its arms up in the air."
golurk,ground,ghost,"a large, blue, and gold creature with a blue head and gold body. It has a unique design, resembling a giant robot or a futuristic creature."
shellder,water,,"The Pokemon in the image has a blue and purple shell-like body, with a face resembling a human, and is wearing a hat. It has a tongue hanging out of its mouth, giving it a comical appearance."
patrat,normal,,"a brown and black rodent-like creature with a large, angry-looking face and a white tail."
pancham,fighting,,"a Pikachu, which is a small, yellow, furry creature with a black face and a green leaf on its head."
ampharos-mega,electric,dragon,"a large, white and yellow creature with a long tail and a horn-like structure on its head. It has a long, flowing white beard and red eyes, giving it a distinct and unique appearance."
glalie-mega,ice,,"a large, snow-covered creature with a black and white face, blue eyes, and a horn-like structure on its head."
armaldo,rock,bug,"a blue and yellow creature with a large body, sharp claws, and a long tail. It has a unique appearance, resembling a dinosaur or a dragon."
leafeon,grass,,"a small, green, and white creature with a long tail, resembling a bird. It has a unique appearance with a green and white body, and its wings are green and white as well."
vikavolt-totem,bug,electric,"a blue and yellow bird-like creature with a long tail, resembling a bird of prey."
koffing,poison,,"a purple, goofy-looking creature with a big mouth, a nose, and a face. It has a purple body and a black nose, and it is wearing a pirate's hat."
tepig,fire,,"a small, cute, and round creature with a red body, yellow ears, and a black back. It has a smiling expression and is wearing a black and red outfit."
eiscue-noice,ice,,"a penguin-like creature with a blue body, white feet, and a yellow beak. It has a small, round head and a single eye."
garbodor,poison,,"a large, green creature with a face full of colorful, round, and pointy features. It has a long, spiky tail and is surrounded by a cloud of smoke."
palossand,ghost,ground,"a small, sandy creature with a dome-shaped body and a pointed nose, resembling a sandcastle."
honedge,steel,ghost,"a blue and white creature with two horns on its head, resembling a knight's helmet."
beheeyem,psychic,,"a small, cute creature with a brown body and a green head. It has a green face and a yellow nose, and it is wearing a hat."
trapinch,ground,,"a small, round creature with a brown body and a white face. It has a unique appearance, resembling a small egg or a ball."
lunala,psychic,ghost,"a large, purple and black bat-like creature with a white face. It has a unique and striking appearance, resembling a combination of a bat and a bird."
kakuna,bug,poison,"a small, yellow, and brown creature with a horn-like structure on its head. It is wearing a yellow scarf and has a black face."
gligar,ground,flying,"a purple and pink creature with a long tail, resembling a crab or lobster. It has a large mouth and is wearing a cape."
kilowattrel,electric,flying,"a large bird-like creature with a yellow and black body, a long tail, and a green beak."
rotom,electric,ghost,"a small, orange creature with a long tail and a lightning-shaped body. It has a blue and white color scheme, giving it a unique and visually striking appearance."
magearna,steel,fairy,"a large, white, and pink robot-like creature with a white tail. It is wearing a hat and has a clock on its chest."
ponyta-galar,psychic,,"a white unicorn with a purple mane, standing on a cloud-filled background."
finizen,water,,"a blue dolphin with a white face, resembling a cartoon character."
roserade,grass,poison,"a green, blue, and white creature with a white face, red eyes, and a heart-shaped red object in its mouth."
toedscool,ground,grass,"a large, white creature with a yellow head and a long tongue. It has a unique and somewhat strange appearance, which makes it stand out among other Pokemon."
samurott-hisui,water,dark,"a blue and red creature with a long, white beard, and it has a horn on its head."
zubat,poison,flying,"a purple bat-like creature with a large mouth, which is a unique and distinct appearance."
goodra,dragon,,"a purple and white creature with a long tongue, resembling a dragon."
rotom-mow,electric,grass,"a small, cute, and green creature with a smiling face. It has a cartoon-like appearance and is depicted as a toy."
kadabra,psychic,,"a yellow and black creature with a long tail, claws, and a sword-like weapon. It appears to be a fierce and intimidating creature, possibly a dinosaur-like creature."
buzzwole,bug,fighting,"a large, red, and orange creature with a big, muscular body and a long tail. It has a pair of horns on its head and a pair of wings on its back, giving it a unique and imposing appearance."
chikorita,grass,,"a green, leafy creature with a long tail. It has a unique appearance, resembling a plant or a small tree."
espurr,psychic,,"a small, gray, and white creature with a purple face and horns. It has a unique and cute appearance."
ferrothorn,grass,steel,"a large, green creature with a long, spiky tail and a face resembling a dragon. It has a pair of large, sharp claws and a pair of horns on its head."
hoothoot,normal,flying,"a small, brown bird with a black beak and red eyes. It has a unique appearance and is wearing a black and white mask."
stunky,poison,dark,"a large, purple and white creature with a long tail, resembling a skunk. It has a horn-like feature on its head and is wearing a mask."
lycanroc-dusk,rock,,"a white and orange furry creature with a long tail, resembling a cat or a fox."
mr-mime,psychic,fairy,"a small, pink, and blue creature with a black face and a white body. It has a distinctive appearance with a large, white, and black hand on its body."
cramorant-gorging,flying,water,"a blue bird-like creature with yellow and white feathers, wearing a yellow crown on its head."
frogadier,water,,"a blue and white creature with a long tail, wearing a white fluffy coat and a blue hat."
kangaskhan-mega,normal,,"a large, brown, and yellow creature with a long tail and sharp teeth."
barbaracle,rock,water,"a large, brown, and green creature with a long tail, claws, and a horn-like structure on its head. It has a unique appearance and is likely a part of the Pokemon franchise."
swablu,normal,flying,"a blue bird with a white cloud-like tail, resembling a bird with a kite-like tail."
liepard,dark,,"a purple and yellow cat-like creature with a long tail, large ears, and a distinctive black and yellow pattern on its body."
sandaconda-gmax,ground,,"a large, brown, and hairy creature with a horn-like structure on its head. It has a unique appearance and is likely a part of the Pokemon franchise."
snover,grass,ice,"a white, round creature with a green top hat, resembling a snowman."
urshifu-rapid-strike,fighting,water,"a large, black and white bird with yellow claws. It is standing on a white background, and its wings are spread out."
bonsly,rock,,"a small, brown creature with a large, green leaf-like appendage on its head. It has a face with a wide-eyed expression, giving it a cute and expressive appearance."
